age,job,education,default,balance,housing,loan,duration,campaign,pdays,previous,y
32.0,management,tertiary,no,3616.0,no,no,165.0,2.0,999.0,0.0,0
57.0,blue-collar,secondary,no,14093.0,no,no,231.0,5.0,999.0,0.0,0
41.0,,tertiary,no,1567.0,no,no,291.0,2.0,999.0,0.0,0
41.0,admin.,tertiary,no,5426.0,yes,no,149.0,2.0,999.0,0.0,0
30.0,admin.,tertiary,no,261.0,no,no,233.0,1.0,137.0,20.0,0
36.0,blue-collar,secondary,no,2843.0,no,no,473.0,1.0,182.0,1.0,0
31.0,unemployed,primary,no,406.0,no,no,736.0,1.0,999.0,0.0,1
36.0,blue-collar,secondary,no,0.0,yes,no,337.0,1.0,999.0,0.0,0
38.0,management,tertiary,no,493.0,yes,no,553.0,1.0,367.0,7.0,0
49.0,technician,secondary,no,5996.0,no,no,345.0,2.0,999.0,0.0,0
57.0,services,primary,no,3777.0,yes,no,65.0,2.0,999.0,0.0,0
34.0,management,secondary,no,524.0,no,no,9.0,1.0,,0.0,0
32.0,management,tertiary,no,574.0,yes,no,259.0,2.0,145.0,3.0,0
37.0,blue-collar,secondary,no,427.0,yes,yes,371.0,3.0,999.0,0.0,0
33.0,self-employed,tertiary,no,483.0,yes,no,280.0,2.0,999.0,0.0,0
56.0,unemployed,primary,no,3391.0,no,no,243.0,1.0,999.0,0.0,1
27.0,housemaid,primary,no,0.0,yes,no,435.0,3.0,999.0,0.0,0
21.0,student,secondary,no,2488.0,no,no,258.0,6.0,169.0,3.0,1
58.0,management,tertiary,no,1517.0,yes,no,7.0,5.0,999.0,0.0,0
32.0,self-employed,secondary,no,,yes,yes,317.0,5.0,999.0,0.0,0
33.0,blue-collar,secondary,no,22.0,no,no,76.0,2.0,207.0,1.0,0
25.0,student,secondary,no,331.0,no,no,170.0,4.0,999.0,0.0,1
25.0,technician,secondary,no,505.0,no,yes,386.0,2.0,999.0,0.0,1
30.0,services,secondary,no,1808.0,yes,no,83.0,2.0,999.0,0.0,0
22.0,admin.,secondary,no,4111.0,no,yes,65.0,1.0,999.0,0.0,0
39.0,blue-collar,primary,no,52.0,no,no,69.0,1.0,999.0,0.0,0
46.0,management,tertiary,no,25.0,no,no,564.0,2.0,999.0,0.0,0
31.0,admin.,secondary,no,1890.0,yes,no,588.0,1.0,999.0,0.0,0
45.0,blue-collar,primary,no,419.0,no,no,113.0,4.0,999.0,0.0,0
32.0,technician,secondary,no,2693.0,yes,no,16.0,1.0,999.0,0.0,0
36.0,blue-collar,secondary,no,-231.0,no,yes,779.0,2.0,999.0,0.0,0
51.0,management,tertiary,yes,-55.0,yes,no,281.0,2.0,266.0,6.0,0
34.0,self-employed,tertiary,no,462.0,no,no,1877.0,3.0,999.0,0.0,1
24.0,unemployed,secondary,no,119.0,no,no,51.0,1.0,999.0,0.0,0
45.0,technician,secondary,no,586.0,no,yes,32.0,3.0,999.0,0.0,0
32.0,blue-collar,secondary,no,228.0,no,no,176.0,1.0,288.0,3.0,0
77.0,retired,tertiary,no,4659.0,no,no,161.0,1.0,999.0,0.0,1
41.0,blue-collar,primary,no,168.0,yes,no,187.0,3.0,999.0,0.0,0
37.0,blue-collar,primary,no,0.0,yes,no,24.0,1.0,999.0,0.0,0
43.0,blue-collar,unknown,yes,-715.0,yes,no,67.0,3.0,999.0,0.0,0
48.0,admin.,unknown,no,0.0,yes,no,85.0,1.0,168.0,2.0,0
27.0,technician,secondary,no,769.0,yes,no,317.0,2.0,999.0,0.0,0
33.0,management,tertiary,no,0.0,no,no,236.0,10.0,999.0,0.0,0
29.0,admin.,secondary,no,428.0,yes,yes,54.0,1.0,345.0,2.0,0
34.0,management,tertiary,no,0.0,no,no,71.0,1.0,999.0,0.0,0
52.0,management,tertiary,no,-970.0,yes,no,489.0,1.0,999.0,0.0,1
60.0,management,unknown,no,6313.0,no,no,39.0,2.0,999.0,0.0,0
32.0,management,tertiary,no,948.0,no,no,204.0,2.0,999.0,0.0,0
32.0,management,tertiary,no,0.0,yes,no,455.0,2.0,999.0,0.0,0
56.0,services,unknown,no,1877.0,yes,no,86.0,1.0,999.0,0.0,0
31.0,management,tertiary,no,874.0,yes,no,190.0,2.0,999.0,0.0,0
42.0,admin.,secondary,no,323.0,yes,yes,280.0,2.0,999.0,0.0,0
35.0,management,tertiary,no,106.0,no,yes,588.0,2.0,999.0,0.0,0
56.0,retired,primary,no,1906.0,no,yes,45.0,9.0,999.0,0.0,0
48.0,technician,secondary,no,1152.0,yes,no,168.0,5.0,999.0,0.0,0
46.0,admin.,secondary,no,179.0,yes,no,194.0,4.0,436.0,1.0,0
37.0,technician,unknown,no,391.0,yes,no,103.0,3.0,999.0,0.0,0
41.0,entrepreneur,unknown,no,89.0,yes,no,333.0,2.0,999.0,0.0,0
36.0,management,tertiary,no,442.0,yes,yes,102.0,3.0,999.0,0.0,0
45.0,unemployed,primary,yes,-249.0,yes,yes,92.0,1.0,999.0,0.0,0
55.0,entrepreneur,secondary,no,8104.0,no,no,213.0,2.0,999.0,0.0,0
39.0,technician,secondary,no,501.0,no,no,289.0,1.0,999.0,0.0,0
35.0,technician,secondary,no,308.0,no,no,77.0,2.0,999.0,0.0,0
55.0,admin.,secondary,no,602.0,no,no,324.0,3.0,90.0,2.0,1
55.0,technician,secondary,no,273.0,yes,no,84.0,3.0,183.0,3.0,0
27.0,self-employed,secondary,no,50.0,no,no,168.0,1.0,999.0,0.0,0
34.0,technician,secondary,no,,yes,no,380.0,1.0,999.0,0.0,0
34.0,blue-collar,tertiary,no,20.0,no,no,10.0,1.0,999.0,0.0,0
25.0,admin.,secondary,no,4590.0,yes,no,199.0,2.0,999.0,0.0,0
41.0,admin.,secondary,no,-256.0,no,yes,35.0,3.0,999.0,0.0,0
43.0,services,secondary,no,,yes,yes,82.0,2.0,999.0,0.0,0
28.0,management,tertiary,no,80.0,no,no,676.0,2.0,146.0,2.0,1
31.0,admin.,secondary,no,2104.0,yes,no,455.0,1.0,999.0,0.0,0
78.0,housemaid,secondary,no,499.0,no,no,80.0,4.0,999.0,0.0,0
45.0,blue-collar,secondary,no,1269.0,yes,no,549.0,2.0,999.0,0.0,0
48.0,technician,tertiary,no,310.0,no,no,135.0,1.0,999.0,0.0,0
32.0,blue-collar,secondary,no,1143.0,yes,yes,412.0,1.0,999.0,0.0,0
42.0,technician,secondary,no,2980.0,no,no,101.0,3.0,999.0,0.0,0
37.0,management,tertiary,no,37.0,no,no,253.0,2.0,999.0,0.0,0
40.0,admin.,secondary,no,462.0,yes,yes,272.0,1.0,335.0,4.0,0
32.0,admin.,secondary,no,1031.0,yes,no,84.0,1.0,999.0,0.0,0
42.0,management,tertiary,no,9009.0,no,no,135.0,2.0,999.0,0.0,0
43.0,admin.,secondary,no,-465.0,yes,yes,166.0,1.0,999.0,0.0,0
44.0,admin.,secondary,no,5181.0,yes,yes,18.0,7.0,999.0,0.0,0
37.0,admin.,secondary,no,176.0,yes,no,147.0,2.0,347.0,1.0,0
37.0,,unknown,no,1699.0,no,no,63.0,1.0,999.0,0.0,0
37.0,admin.,tertiary,no,0.0,yes,no,65.0,2.0,119.0,1.0,0
28.0,technician,tertiary,no,172.0,yes,yes,194.0,2.0,999.0,0.0,0
32.0,services,secondary,no,0.0,no,yes,333.0,2.0,999.0,0.0,0
34.0,admin.,secondary,no,6979.0,yes,no,14.0,5.0,999.0,0.0,0
40.0,admin.,secondary,no,6.0,no,no,140.0,1.0,999.0,0.0,0
34.0,services,secondary,no,-62.0,yes,no,109.0,3.0,999.0,0.0,0
34.0,self-employed,tertiary,no,1972.0,yes,no,61.0,2.0,999.0,0.0,0
34.0,admin.,tertiary,no,899.0,yes,no,377.0,3.0,7.0,4.0,0
37.0,services,secondary,no,21.0,yes,no,96.0,1.0,271.0,2.0,0
36.0,technician,secondary,no,23.0,yes,no,152.0,2.0,347.0,1.0,0
56.0,retired,secondary,no,-1206.0,yes,no,382.0,2.0,999.0,0.0,1
49.0,blue-collar,primary,no,0.0,yes,yes,97.0,6.0,999.0,0.0,0
33.0,self-employed,secondary,no,215.0,yes,no,543.0,12.0,999.0,0.0,0
30.0,management,tertiary,no,1372.0,no,no,240.0,2.0,999.0,0.0,0
36.0,services,secondary,no,1981.0,no,no,48.0,2.0,999.0,0.0,0
23.0,student,secondary,no,9216.0,no,no,471.0,2.0,999.0,0.0,0
57.0,retired,secondary,no,39.0,yes,no,354.0,3.0,999.0,0.0,0
27.0,blue-collar,secondary,no,5563.0,yes,no,435.0,2.0,999.0,0.0,0
38.0,services,secondary,no,1.0,no,yes,152.0,2.0,999.0,0.0,0
42.0,technician,tertiary,no,782.0,no,no,285.0,1.0,999.0,0.0,0
75.0,retired,secondary,no,3771.0,no,no,185.0,1.0,181.0,2.0,1
34.0,technician,tertiary,no,992.0,yes,no,301.0,1.0,88.0,2.0,0
48.0,technician,secondary,no,1526.0,no,no,273.0,2.0,999.0,0.0,0
35.0,technician,tertiary,no,2658.0,yes,no,768.0,2.0,141.0,3.0,1
39.0,management,tertiary,no,1315.0,yes,no,1337.0,4.0,126.0,1.0,0
29.0,blue-collar,tertiary,no,455.0,no,no,403.0,1.0,999.0,0.0,1
45.0,technician,tertiary,no,0.0,yes,no,139.0,2.0,999.0,0.0,0
42.0,technician,secondary,no,2030.0,yes,yes,196.0,1.0,999.0,0.0,0
29.0,technician,secondary,no,1599.0,yes,no,115.0,1.0,61.0,1.0,0
38.0,services,secondary,no,-196.0,yes,no,60.0,1.0,271.0,1.0,0
56.0,retired,secondary,no,1333.0,no,no,17.0,14.0,999.0,0.0,0
36.0,technician,secondary,no,9149.0,yes,no,141.0,3.0,999.0,0.0,0
25.0,blue-collar,secondary,no,-350.0,yes,no,95.0,3.0,999.0,0.0,0
38.0,technician,tertiary,no,432.0,yes,no,10.0,2.0,373.0,1.0,0
57.0,self-employed,secondary,no,11494.0,no,no,198.0,1.0,999.0,0.0,0
31.0,management,tertiary,yes,-253.0,no,no,220.0,4.0,999.0,0.0,0
42.0,management,tertiary,no,372.0,yes,no,654.0,2.0,999.0,0.0,1
45.0,technician,secondary,no,1410.0,no,no,71.0,2.0,999.0,0.0,0
30.0,blue-collar,secondary,no,975.0,yes,no,256.0,2.0,351.0,2.0,0
49.0,blue-collar,primary,no,305.0,yes,yes,834.0,10.0,999.0,0.0,0
49.0,services,secondary,no,400.0,no,no,151.0,3.0,999.0,0.0,0
53.0,retired,tertiary,no,-22.0,yes,no,20.0,3.0,999.0,0.0,0
37.0,technician,secondary,no,4030.0,yes,no,178.0,5.0,999.0,0.0,0
49.0,blue-collar,primary,no,365.0,no,no,59.0,2.0,999.0,0.0,0
41.0,self-employed,primary,no,204.0,no,no,111.0,7.0,999.0,0.0,0
54.0,management,primary,no,1691.0,yes,no,186.0,1.0,,0.0,0
32.0,services,secondary,no,406.0,yes,no,227.0,1.0,999.0,0.0,0
33.0,technician,secondary,no,-204.0,no,no,297.0,3.0,999.0,0.0,0
33.0,technician,secondary,no,359.0,yes,no,210.0,1.0,242.0,1.0,0
36.0,blue-collar,primary,no,123.0,yes,no,9.0,1.0,999.0,0.0,0
35.0,technician,tertiary,no,0.0,yes,yes,112.0,1.0,62.0,6.0,0
52.0,,secondary,no,142.0,no,no,112.0,6.0,999.0,0.0,0
40.0,entrepreneur,tertiary,no,3571.0,no,no,222.0,3.0,999.0,0.0,0
44.0,technician,secondary,no,33.0,yes,no,195.0,3.0,351.0,10.0,0
45.0,blue-collar,secondary,no,0.0,yes,no,768.0,2.0,91.0,5.0,0
30.0,student,secondary,no,3096.0,no,no,123.0,1.0,999.0,0.0,0
48.0,technician,secondary,yes,20.0,no,no,145.0,3.0,999.0,0.0,0
33.0,blue-collar,secondary,no,3576.0,yes,no,124.0,1.0,308.0,2.0,0
57.0,technician,unknown,no,206.0,yes,no,216.0,3.0,999.0,0.0,0
57.0,housemaid,primary,no,7082.0,no,no,69.0,3.0,999.0,0.0,0
51.0,unemployed,tertiary,no,1634.0,yes,no,168.0,4.0,999.0,0.0,0
34.0,admin.,secondary,no,1.0,yes,no,483.0,7.0,999.0,0.0,0
50.0,self-employed,tertiary,no,4012.0,no,no,690.0,3.0,999.0,0.0,0
44.0,management,tertiary,no,3762.0,no,no,125.0,12.0,999.0,0.0,0
27.0,admin.,secondary,no,-247.0,yes,yes,344.0,2.0,999.0,0.0,0
50.0,blue-collar,secondary,no,606.0,yes,no,673.0,2.0,999.0,0.0,0
36.0,management,tertiary,no,0.0,yes,no,60.0,1.0,250.0,1.0,0
42.0,management,secondary,no,-189.0,yes,no,247.0,2.0,999.0,0.0,0
32.0,unemployed,secondary,no,0.0,no,no,123.0,2.0,999.0,0.0,0
42.0,management,tertiary,no,484.0,yes,no,144.0,2.0,999.0,0.0,0
43.0,technician,secondary,no,0.0,no,yes,9.0,2.0,172.0,5.0,0
31.0,management,tertiary,no,395.0,yes,no,155.0,3.0,999.0,0.0,0
32.0,management,tertiary,no,2349.0,no,no,134.0,5.0,999.0,0.0,0
55.0,blue-collar,primary,no,410.0,no,yes,221.0,2.0,999.0,0.0,0
58.0,retired,primary,no,3401.0,yes,no,84.0,3.0,265.0,2.0,0
46.0,blue-collar,primary,no,222.0,no,no,71.0,2.0,999.0,0.0,0
55.0,blue-collar,secondary,no,989.0,yes,yes,246.0,4.0,999.0,0.0,0
34.0,management,tertiary,no,415.0,no,yes,361.0,2.0,999.0,0.0,0
28.0,unemployed,secondary,no,,no,no,119.0,4.0,999.0,0.0,0
42.0,technician,tertiary,no,7190.0,yes,no,375.0,2.0,999.0,0.0,0
29.0,blue-collar,secondary,no,482.0,no,yes,1097.0,3.0,999.0,0.0,1
54.0,housemaid,secondary,no,209.0,yes,yes,97.0,1.0,999.0,0.0,0
32.0,technician,secondary,no,0.0,no,no,181.0,2.0,999.0,0.0,0
39.0,technician,tertiary,no,5803.0,no,no,83.0,3.0,999.0,0.0,0
53.0,entrepreneur,tertiary,no,624.0,no,yes,180.0,4.0,999.0,0.0,0
58.0,technician,tertiary,no,883.0,no,no,543.0,1.0,78.0,2.0,0
40.0,self-employed,secondary,no,1516.0,yes,yes,373.0,1.0,999.0,0.0,0
29.0,student,secondary,no,872.0,yes,no,230.0,1.0,999.0,0.0,0
33.0,technician,tertiary,no,-988.0,yes,yes,83.0,3.0,999.0,0.0,0
38.0,admin.,secondary,no,902.0,yes,no,58.0,13.0,999.0,0.0,0
56.0,services,secondary,no,1007.0,no,no,88.0,6.0,999.0,0.0,0
40.0,services,secondary,no,0.0,yes,no,297.0,1.0,28.0,3.0,0
24.0,blue-collar,secondary,no,174.0,yes,yes,487.0,1.0,999.0,0.0,1
46.0,management,secondary,no,12186.0,no,no,29.0,3.0,999.0,0.0,0
35.0,self-employed,secondary,no,524.0,yes,no,484.0,4.0,999.0,0.0,0
35.0,blue-collar,tertiary,no,0.0,yes,no,262.0,4.0,999.0,0.0,0
34.0,technician,secondary,no,4.0,yes,no,644.0,1.0,999.0,0.0,0
35.0,housemaid,tertiary,no,11219.0,no,no,699.0,2.0,79.0,1.0,0
38.0,technician,tertiary,no,0.0,no,no,247.0,2.0,999.0,0.0,0
50.0,blue-collar,primary,no,5776.0,no,no,49.0,3.0,999.0,0.0,0
51.0,blue-collar,primary,no,37.0,yes,no,341.0,1.0,999.0,0.0,0
59.0,self-employed,tertiary,no,593.0,no,no,64.0,2.0,999.0,0.0,0
32.0,blue-collar,secondary,no,1148.0,yes,no,121.0,1.0,999.0,0.0,0
37.0,blue-collar,secondary,no,3561.0,yes,no,98.0,1.0,999.0,0.0,0
42.0,admin.,secondary,no,63.0,no,no,88.0,6.0,999.0,0.0,0
40.0,student,secondary,no,260.0,no,no,197.0,6.0,999.0,0.0,0
28.0,technician,tertiary,no,2269.0,yes,no,331.0,1.0,999.0,0.0,0
47.0,admin.,secondary,no,1060.0,yes,no,83.0,3.0,999.0,0.0,0
27.0,self-employed,secondary,no,-220.0,yes,no,138.0,2.0,999.0,0.0,0
41.0,management,tertiary,no,49.0,yes,no,312.0,5.0,999.0,0.0,0
34.0,admin.,tertiary,no,69.0,no,yes,120.0,3.0,1.0,6.0,1
50.0,blue-collar,primary,no,4108.0,yes,no,526.0,2.0,999.0,0.0,1
47.0,blue-collar,secondary,no,480.0,yes,no,211.0,2.0,999.0,0.0,0
53.0,services,secondary,no,4994.0,no,no,62.0,6.0,999.0,0.0,0
53.0,technician,secondary,no,0.0,yes,yes,135.0,5.0,999.0,0.0,0
47.0,management,tertiary,no,3681.0,no,no,101.0,2.0,999.0,0.0,0
49.0,entrepreneur,unknown,yes,-701.0,yes,no,988.0,2.0,999.0,0.0,1
29.0,management,tertiary,no,451.0,no,no,451.0,1.0,999.0,0.0,0
45.0,blue-collar,primary,no,,yes,no,1030.0,1.0,999.0,0.0,1
38.0,entrepreneur,secondary,no,,yes,yes,1484.0,24.0,999.0,0.0,1
32.0,blue-collar,secondary,no,759.0,yes,no,317.0,5.0,999.0,0.0,1
70.0,retired,primary,no,4531.0,no,no,445.0,1.0,999.0,0.0,0
65.0,retired,primary,no,1840.0,no,no,383.0,2.0,188.0,5.0,0
56.0,blue-collar,secondary,no,345.0,yes,no,605.0,1.0,999.0,0.0,0
35.0,blue-collar,secondary,no,1287.0,yes,no,330.0,2.0,999.0,0.0,0
56.0,management,unknown,no,353.0,no,yes,171.0,2.0,999.0,0.0,0
56.0,technician,secondary,no,205.0,no,yes,442.0,2.0,999.0,0.0,0
49.0,entrepreneur,secondary,no,687.0,yes,no,772.0,1.0,999.0,0.0,1
38.0,unemployed,primary,no,1147.0,yes,yes,249.0,5.0,999.0,0.0,0
35.0,management,tertiary,no,4286.0,yes,no,357.0,1.0,999.0,0.0,0
38.0,admin.,tertiary,no,605.0,no,no,147.0,2.0,999.0,0.0,0
49.0,blue-collar,secondary,no,8545.0,yes,yes,199.0,7.0,167.0,1.0,0
55.0,management,unknown,no,559.0,no,no,271.0,2.0,999.0,0.0,0
43.0,blue-collar,primary,no,2.0,yes,no,783.0,3.0,999.0,0.0,0
43.0,management,tertiary,no,2.0,no,yes,472.0,2.0,999.0,0.0,0
25.0,admin.,tertiary,no,760.0,yes,no,223.0,3.0,89.0,2.0,1
30.0,blue-collar,primary,no,1317.0,yes,no,395.0,2.0,999.0,0.0,0
46.0,blue-collar,secondary,no,182.0,no,no,56.0,1.0,999.0,0.0,0
50.0,admin.,primary,no,276.0,no,yes,641.0,6.0,999.0,0.0,0
35.0,entrepreneur,secondary,no,2971.0,no,no,429.0,4.0,164.0,2.0,1
26.0,unemployed,secondary,no,1064.0,no,no,113.0,1.0,999.0,0.0,0
45.0,admin.,unknown,no,1783.0,no,no,11.0,11.0,999.0,0.0,0
37.0,blue-collar,secondary,no,-67.0,no,no,157.0,1.0,999.0,0.0,0
60.0,self-employed,tertiary,no,179.0,no,yes,79.0,4.0,999.0,0.0,0
38.0,management,tertiary,no,1199.0,no,no,178.0,1.0,1.0,1.0,1
47.0,blue-collar,primary,no,214.0,yes,yes,168.0,1.0,999.0,0.0,0
33.0,technician,secondary,no,6699.0,no,no,425.0,1.0,462.0,1.0,0
51.0,unemployed,secondary,no,1760.0,no,yes,162.0,1.0,999.0,0.0,0
35.0,entrepreneur,tertiary,no,145.0,yes,no,799.0,2.0,999.0,0.0,1
35.0,unemployed,secondary,no,978.0,no,no,1370.0,3.0,209.0,3.0,1
48.0,admin.,secondary,no,1150.0,yes,no,357.0,1.0,999.0,0.0,0
37.0,admin.,secondary,no,121.0,no,no,22.0,6.0,999.0,0.0,0
29.0,technician,tertiary,no,828.0,yes,no,215.0,3.0,321.0,3.0,0
34.0,admin.,secondary,no,244.0,yes,no,56.0,4.0,999.0,0.0,0
32.0,services,primary,no,228.0,yes,no,1017.0,6.0,999.0,0.0,1
30.0,management,tertiary,no,424.0,no,no,298.0,4.0,999.0,0.0,1
47.0,management,tertiary,no,447.0,no,yes,126.0,1.0,999.0,0.0,0
33.0,blue-collar,primary,no,-195.0,no,no,9.0,1.0,999.0,0.0,0
33.0,management,tertiary,no,1410.0,yes,no,8.0,1.0,254.0,5.0,0
63.0,retired,primary,no,1084.0,no,no,201.0,1.0,183.0,1.0,0
